product_description,GMV_Trend_Week_1,GMV_Trend_Week_2,GMV_Trend_Week_3,Packs_Sold_Trend_Week_1,Packs_Sold_Trend_Week_2,Packs_Sold_Trend_Week_3
Pembe Cooking Oil 20L,-66.22340425319999,-364.22872339260005,-165.558510633,-2,-11,-5
Uto Cooking Oil 10L,-148.40425531439996,-181.3829787176,-65.9574468064,-9,-11,-4
